58074.1422	RA= 0.279019758	DEC= 0.235279883	vx(km/s)= 39.2061986	vy(km/s)= 0.480451416	vz(km/s)= 15.3839544
58074.1825	RA= 0.278892339	DEC= 0.235353523	vx(km/s)= 39.2061986	vy(km/s)= 0.480451416	vz(km/s)= 15.3839544
58078.0269	RA= 0.267246616	DEC= 0.242057838	vx(km/s)= 38.7360989	vy(km/s)= 0.349283344	vz(km/s)= 15.2659796
58078.0325	RA= 0.267230603	DEC= 0.242067021	vx(km/s)= 38.7360989	vy(km/s)= 0.349283344	vz(km/s)= 15.2659796
58078.0381	RA= 0.267214088	DEC= 0.242076492	vx(km/s)= 38.7360989	vy(km/s)= 0.349283344	vz(km/s)= 15.2659796
58078.0439	RA= 0.267197374	DEC= 0.242086076	vx(km/s)= 38.7124777	vy(km/s)= 0.342847084	vz(km/s)= 15.2599699
58078.0609	RA= 0.267148082	DEC= 0.242114341	vx(km/s)= 38.7124777	vy(km/s)= 0.342847084	vz(km/s)= 15.2599699
58078.0661	RA= 0.267132953	DEC= 0.242123017	vx(km/s)= 38.7124777	vy(km/s)= 0.342847084	vz(km/s)= 15.2599699
58078.0816	RA= 0.267088011	DEC= 0.242148787	vx(km/s)= 38.7124777	vy(km/s)= 0.342847084	vz(km/s)= 15.2599699
58078.1395	RA= 0.26692052	DEC= 0.24224482	vx(km/s)= 38.7124777	vy(km/s)= 0.342847084	vz(km/s)= 15.2599699
58078.1458	RA= 0.266902403	DEC= 0.242255207	vx(km/s)= 38.7124777	vy(km/s)= 0.342847084	vz(km/s)= 15.2599699
58078.152	RA= 0.266884289	DEC= 0.242265592	vx(km/s)= 38.7124777	vy(km/s)= 0.342847084	vz(km/s)= 15.2599699
58078.1583	RA= 0.266866177	DEC= 0.242275976	vx(km/s)= 38.7124777	vy(km/s)= 0.342847084	vz(km/s)= 15.2599699
58078.1645	RA= 0.266848067	DEC= 0.242286358	vx(km/s)= 38.7124777	vy(km/s)= 0.342847084	vz(km/s)= 15.2599699
58078.2057	RA= 0.266729062	DEC= 0.242354582	vx(km/s)= 38.7124777	vy(km/s)= 0.342847084	vz(km/s)= 15.2599699
58078.212	RA= 0.266710971	DEC= 0.242364952	vx(km/s)= 38.7124777	vy(km/s)= 0.342847084	vz(km/s)= 15.2599699
58078.2182	RA= 0.266692883	DEC= 0.242375321	vx(km/s)= 38.7124777	vy(km/s)= 0.342847084	vz(km/s)= 15.2599699
58078.2245	RA= 0.266674797	DEC= 0.242385688	vx(km/s)= 38.7124777	vy(km/s)= 0.342847084	vz(km/s)= 15.2599699
58078.2308	RA= 0.266656714	DEC= 0.242396054	vx(km/s)= 38.7124777	vy(km/s)= 0.342847084	vz(km/s)= 15.2599699
58079.2228	RA= 0.263822616	DEC= 0.244019085	vx(km/s)= 38.5959545	vy(km/s)= 0.311312939	vz(km/s)= 15.2302099
58079.2461	RA= 0.26375679	DEC= 0.244056744	vx(km/s)= 38.5729611	vy(km/s)= 0.305132757	vz(km/s)= 15.2243149
